scnno,timestamp,value,lat,lon,bearinglookup,bearing
N34131B,2016-06-15 12:25:10,41,52.4404804979,-1.93880271061
N34131C,2016-06-15 12:25:10,59,52.4399054162,-1.93934780101
N34131D,2016-06-15 12:25:10,27,52.4399054162,-1.93934780101
N34131E,2016-06-15 12:25:10,80,52.4386201058,-1.93986441878
N34131F,2016-06-15 12:25:10,80,52.4385931357,-1.93986445534
N34141X,2016-06-15 12:25:10,64,52.4380457333,-1.94185106243
N34142Y,2016-06-15 12:25:10,80,52.4348831635,-1.94591490654
N34151X,2016-06-15 12:25:10,80,52.4383863355,-1.93980589473
N34151Y,2016-06-15 12:25:10,80,52.4367770552,-1.93967569073
N34152S,2016-06-15 12:25:10,80,52.4390786412,-1.93995206002
N34152T,2016-06-15 12:25:10,80,52.4380087399,-1.93977698681
N34162E,2016-06-15 12:25:10,80,52.4350358529,-1.94560582922
N34171P,2016-06-15 12:25:10,80,52.4363031888,-1.94504531415
N34172Q,2016-06-15 12:25:10,28,52.4391058188,-1.94036391627
N34182C,2016-06-15 12:25:10,80,52.431522196,-1.94886058863
N36111A,2016-06-15 12:25:10,80,52.4104036562,-1.9736853316
N36111B,2016-06-15 12:25:10,41,52.4105924183,-1.97355291161
N36111C,2016-06-15 12:25:10,51,52.4117783607,-1.97037671335
N36111D,2016-06-15 12:25:10,33,52.4124801962,-1.97294902798
N36121E,2016-06-15 12:25:10,32,52.41160822,-1.97321417988
N36121K,2016-06-15 12:25:10,25,52.4120849732,-1.974492922
N36121P,2016-06-15 12:25:10,25,52.4126779442,-1.97280189148
N36121Q,2016-06-15 12:25:10,17,52.4119138623,-1.97312578806
N36121Z,2016-06-15 12:25:10,80,52.4131455401,-1.97330146868
N36131L,2016-06-15 12:25:10,80,52.4127499873,-1.97334581025
N36131P,2016-06-15 12:25:10,38,52.4140805845,-1.97365376088
N36131S,2016-06-15 12:25:10,22,52.4145749197,-1.97312418644
N37121M,2016-06-15 12:25:10,40,52.4756219437,-1.89875276615
N37131A,2016-06-15 12:25:10,24,52.4752908102,-1.90052022806
N38112A,2016-06-15 12:25:10,53,52.4548234203,-1.90392141376
N38112F,2016-06-15 12:25:10,37,52.4553471636,-1.90683402124
N39111R,2016-06-15 12:25:10,32,52.4471358756,-1.92772924575
N39141K,2016-06-15 12:25:10,45,52.4452247932,-1.93425000118
N39151W,2016-06-15 12:25:10,33,52.4445150923,-1.93517792639
N44111A,2016-06-15 12:25:10,80,52.4721517931,-1.92260951289
N44111B,2016-06-15 12:25:10,37,52.470840984,-1.92530575555
N44111C,2016-06-15 12:25:10,35,52.4718873524,-1.93114838373
N44111D,2016-06-15 12:25:10,27,52.4728480656,-1.92908585017
N44121T,2016-06-15 12:25:10,57,52.4717252762,-1.9307069955
N44121V,2016-06-15 12:25:10,28,52.4717249571,-1.93016230643
N44121W,2016-06-15 12:25:10,41,52.4708002184,-1.9322835931
N44131D,2016-06-15 12:25:10,80,52.4716777143,-1.9426755058
N44141G,2016-06-15 12:25:10,28,52.4711924048,-1.94298527783
N44141H,2016-06-15 12:25:10,35,52.4719230093,-1.94826932231
N44141J,2016-06-15 12:25:10,33,52.4727749128,-1.94355738809
N44151K,2016-06-15 12:25:10,28,52.4715969251,-1.94292587232
N44151L,2016-06-15 12:25:10,32,52.4695195482,-1.94150064855
