194,N58121H,Holyhead Road,3806887758,136914618-0
196,N53151E,New John Street West,260478086,366498146-0
197,N51121L,Constitution Hill,3856273384,74277487-1
198,N62131E,Tameside Way,3794439658,22887945-0
201,N74181D,Bromford Lane,3798175283,72240323-0
202,N90151Q,Old Walsall Road,3814047762,22910688-1
209,N90151N,Old Walsall Road,3814050712,128294096
210,N83162Y,Coventry Road,3796874807,380943890
211,N57171T,Booth Street,3806516253,37372165-10
214,N51121J,Great Hampton Street,3794133242,32873315-0
216,N90141D,Walsall Road,3814064750,22752756-0
217,N44181R,Harborne Road,3797894479,42740352-0
218,N55121C,Oxhill Road,3798343349,381249637-1
220,N82131B,Kings Road,3796591033,10476451-2
223,N66181L,Gravelly Lane,3799168423,189749169-2
225,N96131S,Sir Herbert Austin Way ,3799142207,50586151
228,N90132T,Walsall Road,3814080394,231830920-1
233,N96111P,Bristol Road South,3868726276,48173781
237,N67111G,NAN,3794611945,256042548
240,N71171K,Grosvenor Road,3794253809,23315522-0
241,N83151L,Coventry Road,3796899293,141925715-0
243,N14131R,Alcester Road,3796995471,413869170
244,N71151A,NAN,3794241762,NAN
247,N34121K,Chapel Lane,3797017170,4697952
249,N17131Y,Pershore Street,3799222770,23964827-1
252,N74171P,Wheelwright Road,3798166212,23494780-2
253,N14131P,St Mary's Row,3797007261,30619851
255,N17131Z,Upper Dean Street,3799227359,8022977-2
256,N96131V,Sir Herbert Austin Way,3799133113,382232207
258,N36121P,NAN,3799094986,NAN
259,N19162A,James Watt Queensway,3808428254,38182152-2
260,N92131P,Chester Road North,3809865447,14306383
263,N96141B,Bristol Road South,3799145057,4810387
264,N36121K,Frankley Beeches Road,3799088864,50586111
265,N15121E,Taunton Road,3798309128,23736859-0
268,N67111K,NAN,3794634004,256042548
270,N53181Y,NAN,3796852654,NAN
271,N44161P,Hagley Road,3797940249,137652671-6
274,N84112A,NAN,NAN,37047001
277,N74121K,Holly Lane,3798131200,4546617-1
280,N37121M,NAN,3805364095,NAN
282,N66161P,Station Road,3799180533,382237142-0
283,N39141K,Bristol Road,3809662701,382267791
285,N53161K,Summer Lane,3796772400,367970804
287,N81172K,Coventry Road,3815223123,35097672-1
288,N39111R,Bristol Road,3809656460,NAN
290,N34121L,Chapel Lane,3797017170,4697952
291,N44151N,Augustus Road,3797967555,381222494-4
292,N19121G,James Watt Queensway,3808440779,23166593-2
294,N74111W,Wood Lane,3798149633,4546615-1
295,N90141B,Beeches Road,3814061873,23003794-1
297,N15111F,Durham Road,3798202970,376543121-0
299,N36111C,Great Stone Road,3799104984,288439038
300,N81151P,Coventry Road,3794303261,12650000-0
301,N44141J,Rotton Park Road,3859207538,9703684-2
304,N44191J,Highfield Road,3797899069,145104027-0
305,N44171F,Highfield Road,3797925616,145104027-0
307,N36131P,West Boulevard,313887521,28576127-0
308,N83181H,Coventry Road,3796927335,142275546-2
309,N84112D,Coventry Road,3796891287,130446520-0
311,N81111J,Coventry Road,3794271691,376525696-0
312,N81141C,Coventry Road,3794300890,12650000-0
317,N66181J,Boldmere Road,3799171004,800
319,N82161C,Forest Road,3796622887,7981179-0
320,N82151G,Speedwell Road,3796603950,4260810-1
323,N13111B,Moseley Road,3796643958,376540139-0
326,N44141G,Norfolk Road,3797943685,4315970-1
327,N66151D,Station Road,3799186741,4565265-0
328,N44181P,Vicarage Road,3797895027,8022486-0
329,N81151R,Coventry Road,3794310630,383952954-1
332,N13111D,Moseley Road,3796644912,30619582-1
335,N44211N,Vicarage Road,3797898056,8022486-0
337,N44181S,Vicarage Road,3797893337,26371149-3
338,N44171E,Highfield Road,3797920841,8022487-0
342,N74121M,Holly Lane,3798132541,42784016-1
343,N44151M,Norfolk Road,3797949432,375921254-0
345,N36111B,Bristol Road South,3799107399,28576127-0
346,N13151H,Stratford Road,3796665250,42783865-2
350,N71111H,Cuckoo Road,3794184428,38181553-3
351,N44151L,Augustus Road,3797954417,29034371-2
352,N44111B,Highfield Road,3797854337,8022487-1
353,N51131Q,Hockley Street,3794149049,376518876-0
354,N66152K,Sutton New Road,3799204409,755-7
359,N81141D,Golden Hillock Road,3856306058,12649114-1
363,N34141X,Bristol Road,3797081175,140166503
364,N34131B,A38,3797038488,8001829
377,N83151N,Coventry Road,3796905473,47701263-0
380,N19131D,Newton Street,3806931304,231238132-1
381,N22141E,High Street,3794371197,69013136
382,N81141B,Muntz Street,3794284671,12654050-0
385,N22121M,Alcester Road South,3794348020,376527176
389,N22141F,High Street,3794381227,376527181
390,N44211M,Westbourne Road,3797901757,40641325-5
391,N36121Q,Bristol Road South,3799099763,69012737
398,N81111K,Coventry Road,3794274507,376525690-0
401,N81182Y,Coventry Road,3794323439,54968211-1
402,N81181C,Coventry Road,3794328957,376525691-1
404,N36131S,Sir Herbert Austin Way,3799066121,38222576
411,N81151Q,Charles Road,3794304609,12653020-0
421,N19111O,The Priory Queensway,3808444253,31993305-0
425,N90141C,Walsall Road,3814067107,22752756-0
431,N55131K,Oxhill Road,3798345895,34752235-4
432,N19111N,Masshouse Lane,3808449986,4823750-0
438,N74131E,Kingsbury Road,3798116508,3088447-0
446,N22131T,Alcester Road South,3794358923,376527177
447,N22121P,Alcester Road South,3794348233,376527178
454,N96111B,NAN,NAN,NAN
455,N13191V,St Johns Road,3796697324,8030824-1
456,N96131E,NAN,NAN,NAN
457,N96141R,NAN,NAN,NAN
459,N96111C,Bristol Road South,3799122770,48175184
461,N46121T,Hagley Road,3799155192,381222765-1
464,N83111S,Coventry Road,3796895647,380943889-0
467,N30162Y,Bristol Road,3809851257,30193577-7
469,N74191A,Tyburn Road,3814095958,382426033-0
480,N58141X,Holyhead Road,3806898893,382257185-0
483,N96141Z,Sir Herbert Austin Way,3799137805,28576127-0
488,N96111D,NAN,NAN,NAN
490,N96131Y,Bell Hill,3799137801,231313220
493,N83192X,Coventry Road,3796931308,380948391-1
496,N83191A,New Coventry Road,3796937887,37047001-1
503,N81121Y,Coventry Road,3794285123,142367977-0
505,N81181B,Coventry Road,3794322905,376525690-0
523,N21111B,Stratford Road,3841254132,380817717-1
524,N21122E,Stratford Road,3793987687,34561342
543,N44131D,Hagley Road,3797926989,134661477-0
557,N59111P,Villa Road,3809681419,8002228-0
561,N57131T,Soho Road,3806421034,95212138-3
573,N92111H,Chester Road,3809862502,164335785
590,N92111B,College Road,3809858667,844
592,N92111D,College Road,3809862957,4210511
626,N58133P,Holyhead Road,3806906043,8001715-0
653,N15121H,Ladypool Road,3798315310,76705606-13
658,N15111C,Taunton Road,3798302207,23736859-8
697,N62111A,Aldridge Road,3794533129,376533112-2
699,N34152T,Oak Tree Lane,3797819464,380984266
700,N34151Y,Oak Tree Lane,3797820524,23627507
702,N34142Y,Bristol Road,3797091802,48310705
709,N34171P,Bristol Road,3797829542,49807309
733,N64151D,Brassington Avenue,3798075382,141328054
756,N64151C,Brassington Avenue,3798078533,141328054
802,N82131A,NAN,NAN,NAN
810,N36131L,Sir Herbert Austin Way,3799064251,31993185
815,N14131S,Salisbury Road,3797000792,380954634
829,N21122F,Stratford Road,3793977008,376514392
878,N36111A,Bristol Road South,3799084817,49946827
883,N22161D,High Street,3794386360,69013136
887,N21121J,Springfield Road,3841254129,49357948
986,N34182C,Bristol Road,3797103027,380984216
990,N34131F,NAN,3797080490,NAN
992,N34162E,Bristol Road,3797838767,49807311
994,N36121Z,Sir Herbert Austin Way,3799076996,69058564
998,N34152S,NAN,3797825907,115753150
1000,N34151X,Oak Tree Lane,3797819453,380984266
1002,N34131E,NAN,NAN,NAN
