,measurement_id,lon,lat,source,coords,Name,nodeId,wayId
54,N82161B,-1.820482897,52.46217913,Scoot,"(-1.820482897, 52.462179130000003)",Coventry Road,3796614757,130446516-0
55,N90111X,-1.929002719,52.54303231,Scoot,"(-1.9290027190000001, 52.543032310000001)",Old Walsall Road,246646168,22910688-0
56,N66131S,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
57,N76111B,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
58,N30151L,-1.905422033,52.45500444,Scoot,"(-1.905422033, 52.455004440000003)",Edgbaston Road,3809824966,382276542-0
59,N62121L,-1.896626008,52.52256555,Scoot,"(-1.8966260080000001, 52.522565550000003)",Aldridge Road,3794412331,376533110-1
60,N57141A,-1.935018031,52.5034083,Scoot,"(-1.935018031, 52.503408299999997)",Soho Road,3806508877,382252787-0
61,N66141Y,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
62,N62151R,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
63,N90171H,-1.918372333,52.534575,Scoot,"(-1.9183723330000002, 52.534574999999997)",Walsall Road,3814082963,95894591-1
64,N30122Z,-1.913814993,52.45244868,Scoot,"(-1.9138149930000001, 52.452448680000003)",Bristol Road,3809834473,115601182-1
65,N33132Z,-1.900089725,52.47034597,Scoot,"(-1.900089725, 52.470345969999997)",Bristol Street,3796754749,376544183-0
66,N33141W,-1.901733843,52.46579842,Scoot,"(-1.9017338430000001, 52.465798419999999)",Bristol Road,3872930294,115346214-0
67,N44191K,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
68,N30141C,-1.908967344,52.45558257,Scoot,"(-1.9089673440000001, 52.455582569999997)",Priory Road,901541000,397939657-1
69,N17151S,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
