scnno,timestamp,value,lat,lon,bearinglookup,bearing
N36121E,2016-06-15 10:50:10,36,52.41160822,-1.97321417988,7,N
N36121K,2016-06-15 10:50:10,39,52.4120849732,-1.974492922,69,E
N36121P,2016-06-15 10:50:10,22,52.4126779442,-1.97280189148,201,S
N36121Q,2016-06-15 10:50:10,5,52.4119138623,-1.97312578806
N36131P,2016-06-15 10:50:10,29,52.4140805845,-1.97365376088,99,E
N36131S,2016-06-15 10:50:10,28,52.4145749197,-1.97312418644,197,S
N37121M,2016-06-15 10:50:10,80,52.4756219437,-1.89875276615,60,NE
N37131A,2016-06-15 10:50:10,79,52.4752908102,-1.90052022806,142,SE
N38112A,2016-06-15 10:50:10,63,52.4548234203,-1.90392141376,270,W
N38112F,2016-06-15 10:50:10,62,52.4553471636,-1.90683402124,97,E
N39111R,2016-06-15 10:50:10,16,52.4471358756,-1.92772924575,353,N
N39141K,2016-06-15 10:50:10,19,52.4452247932,-1.93425000118,49,NE
N39151W,2016-06-15 10:50:10,59,52.4445150923,-1.93517792639,217,SW
N39161S,2016-06-15 10:50:10,53,52.4433323,-1.9365741,35,NE
N44111B,2016-06-15 10:50:10,12,52.470840984,-1.92530575555
N44111C,2016-06-15 10:50:10,58,52.4718873524,-1.93114838373,88,E
N44111D,2016-06-15 10:50:10,23,52.4728480656,-1.92908585017,136,SE
N44121T,2016-06-15 10:50:10,17,52.4717252762,-1.9307069955,86,E
N44121V,2016-06-15 10:50:10,100,52.4717249571,-1.93016230643,266,W
N44121W,2016-06-15 10:50:10,38,52.4708002184,-1.9322835931,10,N
N44141G,2016-06-15 10:50:10,18,52.4711924048,-1.94298527783,5,N
N44141H,2016-06-15 10:50:10,65,52.4719230093,-1.94826932231,99,E
N44141J,2016-06-15 10:50:10,11,52.4727749128,-1.94355738809,160,S
N44151K,2016-06-15 10:50:10,58,52.4715969251,-1.94292587232,185,S
N44151L,2016-06-15 10:50:10,17,52.4695195482,-1.94150064855,274,W
