Id,measurement_id,lon,lat,source,coords,Name,nodeId,wayId,direction,description,Column1,new_wayId
172,WMTG-D0411Pole2-Zone1,-2.161615232,52.48084041,Detector,"(-2.1616152319999999, 52.480840409999999)",High Street,19855724,23210235-0,N/B,High St; Lawnswood Rd,,28547470
173,WMTG-A0231POLE4-Zone2,-2.153854226,52.56050132,Detector,"(-2.153854226, 52.56050132)",,2140009851,3666121-10,N/B,Penn Rd; near Manor Rd,,7981978
174,WMTG-E2224-Pole12-Zone2,-1.816053708,52.49023005,Detector,"(-1.8160537080000001, 52.490230050000001)",Stechford Lane,3762631366,4254559-1,S/B,Stechford Ln;near Stechford Rd,,72240291
175,WMTG-G0135_TCAM1-Zone1,-1.785877147,52.41424968,Detector,"(-1.7858771469999999, 52.414249679999998)",Blossomfield Road ,2620928778,4692844-6,E/B,Blossomfield Rd; Stat'n Approach,,28922388
176,WMTG-G0141_TCAM2-Zone1,-1.775860928,52.42084783,Detector,"(-1.7758609280000002, 52.42084783)",Lode Lane,252618635,23329100-2,S/B,A41 Solihull Bypass; Lode Lane,,49915510
177,WMTG-A0915POLE8-Zone2,-2.125101693,52.63195011,Detector,"(-2.125101693, 52.631950109999998)",Stafford Road,,,N/B,Stafford Rd; Springfield Ln,,150788216
178,WMTG-A0615POLE2-Zone1,-2.085306912,52.58364757,Detector,"(-2.0853069120000001, 52.583647569999997)",Willenhall Road,1007664671,86639183-0,E/B,Willenhall Rd; Deans Rd,,86868374
179,WMTG-E0170-Pole5-Zone2,-1.89988005,52.48493651,Detector,"(-1.8998800499999999, 52.484936509999997)",Old Snow Hill,316756120,28810885-0,N/B,Great Charles St; Old Snow Hill,,23167215
180,WMTG-D0411Pole7-Zone1,-2.161615232,52.48084041,Detector,"(-2.1616152319999999, 52.480840409999999)",High Street,19855724,23210235-0,N/B,High St; Lawnswood Rd,,28547470
181,WMTG-E0170-Pole5-Zone1,-1.89988005,52.48493651,Detector,"(-1.8998800499999999, 52.484936509999997)",Old Snow Hill,316756120,28810885-0,N/B,Great Charles St; Old Snow Hill,,23167215
182,WMTG-B0328Pole7-Zone2,-1.975454527,52.5883327,Detector,"(-1.9754545269999999, 52.588332700000002)",,918445626,78182933-1,S/B,Arboretum Junction,,61314327
183,WMTG-E1393-Pole22-Zone1,-1.970181904,52.41730721,Detector,"(-1.9701819040000002, 52.417307209999997)",Sir Herbert Austin Way,15857410,50586153-0,E/B,Sir Herbert Austin;near Bell Ln,,382232207
184,WMTG-B0415Pole2-Zone2,-2.010465706,52.58652776,Detector,"(-2.0104657059999997, 52.586527760000003)",Bloxwich Lane,3749553535,32112369-0,S/B,Wolverhampton Rd; Bloxwich Ln,,220758590
185,WMTG-B0415Pole2-Zone1,-2.010465706,52.58652776,Detector,"(-2.0104657059999997, 52.586527760000003)",Bloxwich Lane,3749553535,32112369-0,S/B,Wolverhampton Rd; Bloxwich Ln,,220758590
186,WMTG-E1393-Pole22-Zone2,-1.970181904,52.41730721,Detector,"(-1.9701819040000002, 52.417307209999997)",Sir Herbert Austin Way,15857410,50586153-0,E/B,Sir Herbert Austin;near Bell Ln,,382232207
187,WMTG-E0755-Pole3-Zone1,-1.899955489,52.471119,Detector,"(-1.8999554890000001, 52.471118999999995)",Bristol Street,259963987,9942886-0,N/B,Bristol St; near Wrentham St,,376546469
188,WMTG-E0170-Pole12-Zone1,-1.900173936,52.48521545,Detector,"(-1.9001739359999998, 52.485215449999998)",Old Snow Hill,316756120,28810885-0,N/B,Great Charles St; Old Snow Hill,,23167215
189,WMTG-A915POLE6-Zone2,-2.125101693,52.63195011,Detector,"(-2.125101693, 52.631950109999998)",Stafford Road,,,N/B,Stafford Rd; Springfield Ln,,150788216
190,WMTG-A0613POLE3-Zone2,-2.108611784,52.58393409,Detector,"(-2.1086117840000003, 52.58393409)",Lower Walsall Street,427053501,107081741-0,E/B,Lower Walsall St; Willenhall Rd,,36739582
191,WMTG-A0231POLE5-Zone2,-2.153854226,52.56050132,Detector,"(-2.153854226, 52.56050132)",Manor Road,2140009851,3666121-10,E/B,Penn Rd; near Manor Rd,,3848951
192,WMTG-E0750-Pole1-Zone1,-1.906893561,52.46902099,Detector,"(-1.906893561, 52.469020989999997)",Lee Bank Middleway,,,N/B,Lee Bank Middleway; nr Ryland Rd,,4017688
